"ID";"﻿id";"file_id";"cation";"code";"code_RF"
"1";"4";"BAACAgIAAxkBAAIGmmoeBxJ6Jn7-uWqxDnZYepr5WEfWAAKopgACq1nxSDnnN6fMIb2ROwQ";"Парка шерстяная Taurina (Таурина) в молочном цвете ||🔸Натуральный мех лисицы|🔸Наполнитель: 90% пух, 10% перо|🔸Полностью съемный мех |🔸Состав: 48% шерсть|🔸Артикул: 516/2|🔸Размерный ряд: 40-50|🔸Длина: 70 см";"Taurina";"Таурина"
"2";"5";"https://disk.yandex.ru/d/8_Q9HlR0BsX93Q";"Парка шерстяная Carolina (кэролайн) в светло-сером цвете, с натуральным мехом лисицы||🔸Артикул: 25625/HS|🔸Длина: 65 см.|🔸Размерный ряд: 38-46|🔸Подклад 90% пуха, 10% пера|🔸Шерсть 45%|🔸Полностью СЪЁМНЫЙ мех";"Carolina";"Каролина"
"3";"6";"https://disk.yandex.ru/i/ZELgeF7_qnhfBw";"Пуховое пальто Rowena  (Ровэна) в цвете хаки с натуральным мехом енота||🔸Артикул: 25671/ 19|🔸Длина: 110 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Rowena";"Ровена"
"4";"7";"https://disk.yandex.ru/d/bzH933B9su5uRg";"Парка Katrin (Катрин) в черном цвете с  натуральным аукционным мехом енота||🔸 Артикул: А28 - 110 / HEI|🔸Длина: 110 см.|🔸Размерный ряд: 44-60|🔸целая шубка из меха енота открытого типа + в рукавах утеплитель нового поколения ультралегкий и невесомый ISOSOFT|🔸 Полностью СЪЁМНЫЙ мех";"Katrin";"Катрин"
"5";"8";"https://disk.yandex.ru/d/_hBuoLcdnxqXxw";"Парка Gloria (Глория) в черном цвете с  натуральным аукционным комбинированным мехом ЛИСИЦЫ||🔸 Артикул: А307 / HEI|🔸Длина: 110 см.|🔸Размерный ряд: 44-56|🔸 Полный меховой капюшон с мехом лисицы|🔸Подстёжка: натуральный мех кролика закрытого типа (под подкладом) + в рукавах инновационный ультралегкий утеплитель нового поколения ISOSOFT|🔸 Полностью СЪЁМНЫЙ мех";"Gloria";"Глория"
"6";"9";"https://disk.yandex.ru/d/TcsJQ5_6sW_cyQ";"Пуховое пальто Melania (Мелания) в кофейном оттенке ||🔸Натуральной мех финского песца затонированный под баргузинского соболя|🔸Артикул: 547/17|🔸Длина: 70 см|🔸Размерный ряд: 40-50|🔸Наполнитель: 90% пух, 10% перо|🔸В составе 65% шерсти|🔸СЪЁМНЫЙ мех||На Валентине 46 размер";"Melania";"Мелания"
"7";"10";"https://disk.yandex.ru/d/H-DpCe6VbqdJkA";"Парка шерстяная Abigale (Эбигейл) песочная ||🔸Натуральный мех финского песца под соболя|🔸Полностью съемный мех |🔸Состав: 45% шерсть|🔸Размерный ряд: 40-48|🔸Длина: 85 см||На Саше 40р";"Abigale";"Эбигейл"
"8";"11";"https://disk.yandex.ru/d/x6yfEGGVg4Fj5A";"Пуховое пальто Elva с капюшоном 💎||🔸натуральная шерсть|🔸натуральный мех лисицы|🔸Длина: 85 см|🔸Размерный ряд: 42-50|🔸Наполнитель: 90% пух, 10% перо|🔸В составе 45% шерсти|🔸СЪЁМНЫЙ мех||На Саше 40р";"Elva";"Эльва"
"9";"12";"https://disk.yandex.ru/d/BXlqjfaNtY9HMg";"Caroline в молочном цвете||🔸Шикарный мех лисицы|🔸Премиум утеплитель |🔸В составе 90%пуха и 10% пера|🔸В составе шерсть |🔸Широкий размерный ряд: 38/40/42/44/46/48-50|🔸Длина: 68 см.||На Саше 38р";"Caroline";"Кэролайн"
"10";"13";"https://disk.yandex.ru/d/kw_q98qWQMK0TQ";"Caroline в сером цвете ||🔸Шикарный мех лисицы|🔸Премиум утеплитель |🔸В составе 90%пуха и 10% пера|🔸В составе шерсть |🔸Широкий размерный ряд: 38/40/42/44/46/48-50|🔸Длина: 68 см.||На Саше 38р";"Caroline";"Кэролайн"
"11";"14";"https://disk.yandex.ru/d/Zk5Pe6Okx7C09w";"Пуховое пальто Clara (Клара) в шоколадном оттенке ||🔸Натуральный мех лисицы |🔸Артикул: 25627/261-1512|🔸Длина: 70 см.|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Clara";"Клара"
"12";"15";"https://disk.yandex.ru/d/6hyaGU_qia6whw";"Пуховое пальто Clara (Клара) в молочном цвете ||🔸Натуральный мех лисицы |🔸Артикул: 25627/6619-4|🔸Длина: 70 см.|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Clara";"Клара"
"13";"16";"https://disk.yandex.ru/d/1V5FOfVjluZWIA";"Пуховое пальто Melania (Мелания) в сером оттенке ||🔸Натуральной мех финского песца затонированный под баргузинского соболя|🔸Артикул: 547/4|🔸Длина: 70 см|🔸Размерный ряд: 42-50|🔸Наполнитель: 90% пух, 10% перо|🔸В составе 65% шерсти|🔸СЪЁМНЫЙ мех";"Malania";"Мелания"
"14";"17";"https://disk.yandex.ru/d/jcvtEPULvNuVsA";"Парка шерстяная Juliette ( Жульетта) в розовом оттенке ||🔸Натуральный мех енота|🔸Полностью съемный мех |🔸Состав: 45% шерсть|🔸Наполнитель: 90% пух, 10% перо|🔸Артикул: 542/9|🔸Размерный ряд: 40-50|🔸Длина: 70 см";"Juliette";"Жульетта"
"15";"18";"https://disk.yandex.ru/d/SXUu34BjFWnz5g";"Парка шерстяная Taurina ( Таурина) в кофейном оттенке ||🔸Натуральный мех лисицы|🔸Наполнитель: 90% пух, 10% перо|🔸Полностью съемный мех |🔸Состав: 48% шерсть|🔸Артикул: 516/17|🔸Размерный ряд: 40-50|🔸Длина: 70 см";"Taurina";"Таурина"
"16";"19";"https://disk.yandex.ru/d/mIdtKhF99KlYKg";"Пуховая куртка Estella (Эстелла) в цвете баклажан||🔸Натуральный мех енота|🔸Артикул: P242669/15|🔸Длина: 70 см.|🔸Размерный ряд: 38-48|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Estella";"Эстелла"
"17";"20";"https://disk.yandex.ru/d/Z9YvwDCRHy9Dfg";"Куртка утепленная Yara (Яра) , в черном цвете ||🔸Наполнитель: THINSULATE|🔸Вставки из высококачественной экокожи, выполненной под питона|🔸Артикул: D4013/NS8008-HEI|🔸Длина: 60 см.|🔸Размерный ряд: 42-54";"Yara";"Яра"
"18";"21";"https://disk.yandex.ru/d/en8LYlNTgxj4-w";"Куртка утепленная Yara (Яра) , в оттенке шоколад ||🔸Наполнитель: THINSULATE|🔸Вставки из высококачественной экокожи, выполненной под питона|🔸Артикул: D4013/1933-KF|🔸Длина: 60 см.|🔸Размерный ряд: 42-54";"Yara";"Яра"
"19";"22";"https://disk.yandex.ru/d/wtXjkT4csZ57JA";"Пуховая куртка Terra  (Тэрра) в песочном цвете с натуральным мехом енота  ||🔸Артикул: 25611/30|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Terra";"Тэра"
"20";"23";"https://disk.yandex.ru/d/TKgC-49Tlmbl9Q";"Пуховая куртка Terra  (Тэрра) в  цвете вишня с натуральным мехом енота ||🔸Артикул: 25611/518|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Terra";"Тэра"
"21";"24";"https://disk.yandex.ru/d/CYu40cuWFDn6_g";"Пуховая куртка Terra  (Тэрра) в цвете пломбир с натуральным мехом лисицы  ||🔸Артикул: 25611/5|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Terra";"Тэра"
"22";"25";"https://disk.yandex.ru/d/jCi2a_LOUEO49Q";"Пуховая куртка Terra  (Тэрра) в черном цвете с натуральным мехом енота  ||🔸Артикул: 25611/1|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Terra";"Тэра"
"23";"26";"https://disk.yandex.ru/d/ZEzdDa6HbZ5noA";"Пуховая куртка Elara (Элара) в цвете графит с натуральным мехом енота  ||🔸Артикул: 25672/509|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Elara";"Элара"
